Instance,matrix_Time,matrix_Solutions,matrix_Decisions
kts21-ptpt-0082,TO,TO,TO
kts21-ptpt-0083,TO,TO,TO
kts21-ptpt-0084,TO,TO,TO
kts21-ptpt-0085,TO,TO,TO
kts21-ptpt-0086,TO,TO,TO
kts21-ptpt-0087,TO,TO,TO
kts21-ptpt-0088,TO,TO,TO
kts21-ptpt-0089,TO,TO,TO
kts21-ptpt-0090,TO,TO,TO
kts21-ptpt-0091,TO,TO,TO
kts21-ptpt-0092,TO,TO,TO
kts21-ptpt-0093,TO,TO,TO
kts21-ptpt-0094,TO,TO,TO
kts21-ptpt-0095,TO,TO,TO
kts21-ptpt-0096,TO,TO,TO
kts21-ptpt-0097,TO,TO,TO
kts21-ptpt-0098,TO,TO,TO
kts21-ptpt-0099,TO,TO,TO
kts21-ptpt-0100,TO,TO,TO
latin6-blk-00001,0.011,48,-
latin6-blk-00002,0.013,56,-
latin6-blk-00003,0.009,80,-
latin6-blk-00004,0.013,72,-
latin6-blk-00005,0.013,80,-
latin6-blk-00006,0.013,88,-
latin6-blk-00007,0.012,80,-
latin7-blk-00001,0.393,10752,-
latin7-blk-00002,0.599,14976,-
latin7-blk-00003,0.670,17280,-
latin7-blk-00004,0.909,19840,-
latin7-blk-00005,0.712,20480,-
latin7-blk-00006,1.035,29056,-
latin7-blk-00007,0.601,23616,-
latin7-blk-00008,0.586,27072,-
latin7-blk-00009,0.892,27776,-
latin8-blk-00001,TO,TO,TO
latin8-blk-00002,TO,TO,TO
latin8-blk-00003,TO,TO,TO
latin8-blk-00004,TO,TO,TO
latin8-blk-00005,TO,TO,TO
latin8-blk-00006,TO,TO,TO
