Instance,matrix_Time,matrix_Solutions,matrix_Decisions
grafo11324.100,5.000,560387610526314185205659607711744,-
grafo11335.100,0.270,61471332725994635285503002432000,-
grafo11369.96,TO,TO,TO
grafo11458.100,4.610,32929161513245347400780796768,-
grafo11469.96,5.830,165728243199277045297920000,-
grafo11546.97,0.570,75444469155251576685056404800,-
grafo11569.93,2.860,4844612865840488301571200,-
grafo3224.98,TO,TO,TO
grafo3435.99,TO,TO,TO
grafo3532.99,0.590,28327450894599629841700806720,-
grafo3680.99,7.720,2149519026657629741871667680000,-
grafo3712.95,0.470,5258623445171291339393040,-
grafo3861.99,1.300,16121448104607716575683640617648,-
grafo3890.96,1.030,8944113065325995850718418621147520,-
grafo3898.99,TO,TO,TO
grafo3979.98,26.510,423904573438761629195520,-
grafo3995.97,1.620,5931077209549283555589214132590240,-
grafo4091.99,21.760,32508414237190114299136803240960,-
grafo6562.98,0.200,236273893424318395676761226496,-
grafo6625.99,0.560,1337161524838599745621440,-
grafo6975.39,1.920,320039444695988826981559487100000,-
grafo7221.99,0.210,1525888907338681754882536320000,-
grafo7263.99,TO,TO,TO
grafo7417.39,0.390,413427890976458123248101187541280000,-
grafo7785.100,1.160,557646274243607696621728263360,-
grafo7797.100,28.340,18087494243875214914061634240,-
grafo7907.80,2.090,56046368067982192880179200,-
grafo7936.89,TO,TO,TO
grafo8008.95,2.760,2836630049700547381881600,-
grafo8127.78,0.090,66208157321355098849280,-
grafo8198.99,0.350,649388601659380264242499152000,-
grafo8223.99,0.220,334422330310025516401710173429760,-
grafo8373.100,0.240,742658646888847672838471232000,-
grafo8478.98,5.390,12250781027964153710065548,-
grafo8490.95,TO,TO,TO
grafo8510.100,3.620,2522290965851353756626557847360,-
grafo8513.100,TO,TO,TO
grafo8549.100,TO,TO,TO
grafo8566.98,14.510,33675447534980819354777573856,-
grafo8571.94,1.670,60036648006230924769664308000,-
grafo8673.98,6.130,3665987126814610816771132800,-
grafo8674.100,5.320,4411819550965378162337392234383360,-
grafo8719.93,TO,TO,TO
grafo8739.99,6.350,3376726709558271550550300000,-
grafo8777.98,0.210,527114627133616421733651616800,-
grafo8780.96,0.960,106865700460093439124794247168,-
grafo8791.94,TO,TO,TO
grafo8793.100,0.790,6290998565958574189476048,-
grafo8805.80,TO,TO,TO
grafo8812.99,TO,TO,TO
grafo8823.93,1.150,2471867976793564523950612320,-
grafo8826.100,0.580,1834705985117148849612007324569600,-
grafo8857.99,1.440,313543526986779746908720331250,-
grafo8864.98,1.570,1950049320147521882078400,-
grafo8865.100,TO,TO,TO
grafo8867.97,7.470,685433148081827754240945612000,-
grafo8882.100,4.750,60433143070321573071599902510800,-
grafo8892.100,0.330,156239009903443337640000,-
grafo8893.96,0.070,8420211467291839036389765120,-
grafo8921.98,TO,TO,TO
grafo8943.98,TO,TO,TO
grafo8963.92,TO,TO,TO
grafo8997.96,TO,TO,TO
grafo9008.91,0.710,72401743992697856645701464672,-
grafo9357.99,12.900,142289637244534381196640,-
grafo9362.98,5.510,211356181498372577399700,-
grafo9542.87,TO,TO,TO
grafo9691.79,0.280,150604398614405598500000,-
grafo9738.100,TO,TO,TO
grafo9788.80,0.350,5964147984416058082800,-
grafo9973.96,TO,TO,TO
grafo9984.96,1.030,3696278631131858917807872,-
grafo9995.94,3.480,6526238612574319118772318,-
heart,TO,TO,TO
kts15-ptpt-0001,MEMOUT,MEMOUT,MEMOUT
